,price,Overall.Qual,Garage.Area,Total.Bsmt.SF,X1st.Flr.SF,Full.Bath,AgeofHouse,Mas.Vnr.Area,TotRms.AbvGrd,Fireplaces,Wood.Deck.SF,Open.Porch.SF
0,215000,6,528.0,1080.0,1656,1,50,112.0,7,2,210,62
1,105000,5,730.0,882.0,896,1,49,0.0,5,0,140,0
2,172000,6,312.0,1329.0,1329,1,52,108.0,6,0,393,36
3,244000,7,522.0,2110.0,2110,2,42,0.0,8,2,0,0
4,189900,5,482.0,928.0,928,2,12,0.0,6,1,212,34
5,195500,6,470.0,926.0,926,2,12,20.0,7,1,360,36
6,213500,8,582.0,1338.0,1338,2,9,0.0,6,0,0,0
7,191500,8,506.0,1280.0,1280,2,18,0.0,5,0,0,82
8,236500,8,608.0,1595.0,1616,2,14,0.0,5,1,237,152
9,189000,7,442.0,994.0,1028,2,11,0.0,7,1,140,60
10,175900,6,440.0,763.0,763,2,16,0.0,7,1,157,84
11,185000,6,420.0,1168.0,1187,2,3,0.0,6,0,483,21
12,180400,6,393.0,789.0,789,2,12,0.0,7,1,0,75
13,171500,7,506.0,1300.0,1341,1,20,0.0,5,1,192,0
14,212000,8,528.0,1488.0,1502,1,25,0.0,4,0,0,54
15,538000,8,841.0,1650.0,1690,3,7,603.0,12,1,503,36
16,164000,8,492.0,559.0,1080,2,5,0.0,8,0,325,12
17,394432,9,834.0,1856.0,1856,1,0,350.0,8,1,113,0
18,141000,4,400.0,864.0,864,1,59,0.0,4,0,0,0
19,210000,6,500.0,1542.0,2073,2,22,119.0,7,2,349,0
20,190000,6,546.0,1844.0,1844,2,33,480.0,7,1,0,122
21,170000,7,528.0,1053.0,1173,2,36,81.0,6,2,0,120
22,216000,7,663.0,814.0,814,2,10,0.0,7,0,0,96
23,149000,6,480.0,1004.0,1004,1,40,180.0,5,1,0,0
24,149900,5,500.0,1078.0,1078,1,2,0.0,6,1,0,0
25,142000,5,304.0,1056.0,1056,1,42,0.0,6,1,0,85
26,126000,4,525.0,882.0,882,1,40,0.0,4,0,240,0
27,115000,4,0.0,864.0,864,1,39,0.0,5,1,0,0
28,184000,7,511.0,1405.0,1337,2,11,0.0,5,1,203,68
29,96000,6,264.0,483.0,483,1,39,504.0,5,0,275,0
30,105500,5,320.0,525.0,525,1,39,492.0,6,0,0,0
31,88000,6,264.0,525.0,525,1,39,381.0,6,0,0,0
32,127500,6,440.0,1069.0,1069,2,33,0.0,4,1,0,55
33,149900,6,440.0,855.0,855,2,35,0.0,6,1,173,0
34,120000,7,308.0,836.0,836,1,35,0.0,4,0,0,30
35,146000,6,440.0,855.0,855,2,32,0.0,7,1,26,0
36,376162,9,751.0,1590.0,1627,2,0,162.0,10,1,144,133
37,306000,8,772.0,1704.0,1704,2,2,200.0,7,1,0,50
38,395192,9,606.0,1930.0,1940,2,0,450.0,8,1,168,95
39,290941,8,868.0,1544.0,1544,2,0,256.0,7,0,0,35
40,220000,7,532.0,1541.0,1541,2,5,226.0,7,1,0,70
41,275000,9,730.0,1698.0,1698,2,5,615.0,7,1,192,74
42,259000,8,678.0,1822.0,1822,2,4,240.0,8,1,0,119
43,214000,7,532.0,1517.0,1535,2,6,168.0,7,0,0,0
44,611657,9,820.0,2330.0,2364,2,0,760.0,11,2,0,67
45,224000,7,484.0,1358.0,1358,2,0,128.0,6,1,192,35
46,500000,9,958.0,2846.0,2696,2,6,1095.0,10,2,220,150
47,320000,8,756.0,1671.0,1687,2,8,232.0,7,1,238,130
48,319900,9,576.0,1752.0,1752,2,5,412.0,6,1,196,82
49,205000,8,484.0,1370.0,1370,2,4,178.0,6,1,120,49
50,175500,7,474.0,764.0,764,2,7,106.0,6,0,0,27
51,199500,6,430.0,1324.0,1324,2,5,0.0,6,0,36,23
52,160000,7,437.0,1145.0,1145,2,4,14.0,6,0,100,116
53,192000,8,430.0,1256.0,1269,2,5,16.0,6,1,146,20
54,184500,7,400.0,384.0,744,2,6,0.0,7,1,100,0
56,185088,7,433.0,847.0,847,2,6,0.0,7,1,144,48
57,180000,7,400.0,384.0,774,2,10,0.0,7,1,180,0
58,222500,7,434.0,884.0,884,2,9,180.0,8,1,144,48
59,333168,9,779.0,1393.0,1422,2,11,165.0,10,1,668,30
60,355000,8,962.0,1629.0,1645,2,12,114.0,7,1,23,172
61,260400,7,527.0,1720.0,1720,2,14,338.0,7,1,240,56
62,325000,8,712.0,1463.0,1500,2,15,362.0,9,2,186,32
63,290000,8,671.0,1152.0,1164,2,3,348.0,9,1,132,57
64,221000,7,486.0,1195.0,1195,2,12,30.0,7,0,0,81
65,410000,8,666.0,2033.0,2053,2,14,579.0,9,1,283,86
66,221500,8,880.0,1595.0,1595,2,4,226.0,6,1,144,0
67,204500,7,676.0,1218.0,1218,2,0,0.0,4,0,0,136
68,215200,7,614.0,756.0,764,2,1,0.0,7,0,169,45
69,262500,8,750.0,1566.0,1566,2,2,36.0,7,0,144,168
