,PID,Order,area,price,MS.SubClass,MS.Zoning,Lot.Area,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Condition.1,Condition.2,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Roof.Style,Roof.Matl,Exterior.1st,Exterior.2nd,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Fireplace.Qu,Garage.Type,Garage.Yr.Blt,Garage.Finish,Garage.Cars,Garage.Area,Garage.Qual,Garage.Cond,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Pool.QC,Fence,Misc.Feature,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,Longitude,Latitude,AgeofHouse
1,526301100,1,1656,215000,20,RL,31770,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639.0,Unf,0.0,441.0,1080.0,GasA,Fa,Y,SBrkr,1656,0,0,1.0,0.0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,210,62,0,0,0,0,Not Present,Not Present,Not Present,0,5,2010,WD ,Normal,"-93,619754","42,054035",50
2,526302030,2306,1293,149900,20,RL,11027,Pave,Not Present,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,28.0,TA,TA,CBlock,TA,TA,No,BLQ,468.0,Rec,539.0,171.0,1178.0,GasA,Gd,Y,SBrkr,1293,0,0,1.0,0.0,2,0,2,1,TA,5,Typ,0,Not Present,Attchd,1954.0,RFn,2.0,452.0,TA,TA,Y,280,0,0,0,0,0,Not Present,Not Present,Not Present,0,5,2006,WD ,Normal,"-93,618462","42,053406",52
3,526302040,2307,1024,157500,20,RL,10533,Pave,Not Present,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1956,1956,Hip,CompShg,VinylSd,VinylSd,BrkFace,244.0,TA,Gd,CBlock,TA,TA,No,Rec,773.0,Unf,0.0,235.0,1008.0,GasA,TA,Y,SBrkr,1024,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,2,TA,Attchd,1956.0,Unf,1.0,313.0,TA,TA,Y,0,0,0,0,280,0,Not Present,Not Present,Not Present,0,8,2006,WD ,Normal,"-93,618182","42,053327",50
4,526302110,342,882,124500,20,RL,13008,Pave,Not Present,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Fa,Fa,No,Rec,564.0,Unf,0.0,318.0,882.0,GasA,TA,Y,SBrkr,882,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Not Present,Attchd,1956.0,Unf,1.0,502.0,TA,TA,Y,0,0,0,0,0,0,Not Present,Not Present,Not Present,0,10,2009,WD ,Normal,"-93,6188955","42,0530363",53
5,526302120,2308,1797,169000,20,RL,11765,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,302.0,TA,TA,CBlock,TA,TA,Mn,Rec,1127.0,Unf,0.0,490.0,1617.0,GasA,Fa,Y,SBrkr,1797,0,0,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1957.0,Unf,3.0,963.0,TA,TA,Y,0,0,0,0,0,0,Not Present,Not Present,Not Present,0,6,2006,WD ,Normal,"-93,6192621","42,0531078",49
6,526303060,2309,1390,252000,20,RL,39384,Pave,Not Present,IR1,Low,AllPub,CulDSac,Sev,NAmes,Norm,Norm,1Fam,1Story,6,6,1957,1957,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,902.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1110.0,Unf,0.0,595.0,1705.0,GasA,Ex,Y,SBrkr,1390,0,0,1.0,0.0,1,1,1,1,Ex,4,Min1,2,Gd,Attchd,1957.0,Unf,2.0,550.0,TA,TA,Y,0,189,0,0,0,0,Not Present,Not Present,Not Present,0,10,2006,WD ,Abnorml,"-93,616439","42,052519",49
7,526350040,2,896,105000,20,RH,11622,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,270.0,882.0,GasA,TA,Y,SBrkr,896,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,Not Present,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,140,0,0,0,120,0,Not Present,MnPrv,Not Present,0,6,2010,WD ,Normal,"-93,619756","42,053014",49
8,526351010,3,1329,172000,20,RL,14267,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,0.0,0.0,1,1,3,1,Gd,6,Typ,0,Not Present,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,393,36,0,0,0,0,Not Present,Not Present,Gar2,12500,6,2010,WD ,Normal,"-93,6193873","42,052659",52
9,526351030,990,1414,176500,20,RL,11029,Pave,Not Present,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1958,2002,Hip,CompShg,MetalSd,MetalSd,None,0.0,Ex,TA,CBlock,Gd,TA,No,ALQ,528.0,BLQ,411.0,245.0,1184.0,GasA,Ex,Y,SBrkr,1414,0,0,1.0,0.0,1,0,3,1,TA,6,Min1,1,TA,Attchd,1990.0,Unf,2.0,601.0,TA,TA,Y,0,51,0,0,190,0,Not Present,Not Present,Not Present,0,5,2008,WD ,Normal,"-93,6188286","42,0525525",6
10,526351100,343,1434,157000,20,RL,10200,Pave,Not Present,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440.0,TA,TA,CBlock,TA,TA,No,LwQ,844.0,Unf,0.0,590.0,1434.0,GasA,TA,Y,SBrkr,1434,0,0,1.0,0.0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,80,21,0,0,0,0,Not Present,Not Present,Not Present,0,6,2009,WD ,Normal,"-93,619562","42,05139",35
