"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Longitude";"Latitude";"Neighborhood"
175900;7;660;1386;1569;2;2;130;7;1;143;"-93,641515";"42,062557";"Blmngtn"
234000;7;420;1374;1557;2;2;18;7;1;143;"-93,641946";"42,063298";"Blmngtn"
215000;8;400;1273;1456;2;3;40;7;1;143;"-93,640287";"42,063329";"Blmngtn"
181000;7;457;1346;1504;2;3;16;7;1;156;"-93,642597";"42,062266";"Blmngtn"
113700;6;264;672;672;1;34;265;7;0;0;"-93,627855";"42,052696";"BrDale"
100500;6;352;483;483;1;36;422;5;0;411;"-93,627114";"42,051479";"BrDale"
96000;6;264;483;483;1;39;504;5;0;275;"-93,627271";"42,051835";"BrDale"
85400;6;264;483;483;1;37;232;4;0;0;"-93,62765";"42,051678";"BrDale"
111750;5;264;630;630;2;36;356;6;0;0;"-93,629425";"42,051659";"BrDale"
64000;3;0;370;442;1;57;0;4;0;0;"-93,628654";"42,036023";"BrkSide"
85500;4;0;440;869;1;48;0;4;0;0;"-93,629185";"42,03537";"BrkSide"
118000;5;205;991;1077;1;58;0;5;2;0;"-93,627578";"42,034563";"BrkSide"
79500;5;308;742;779;1;48;0;4;0;0;"-93,625728";"42,03338";"BrkSide"
135000;5;224;728;728;2;9;0;6;0;0;"-93,624715";"42,033482";"BrkSide"
87000;4;200;765;765;1;60;0;4;0;135;"-93,625586";"42,033621";"BrkSide"
128000;6;576;572;848;1;60;0;6;2;0;"-93,622597";"42,0336";"BrkSide"
132500;6;280;780;825;1;59;0;6;1;45;"-93,623515";"42,033347";"BrkSide"
105000;6;240;739;874;2;58;0;7;1;0;"-93,621532";"42,033366";"BrkSide"
93000;5;320;468;822;1;59;444;6;0;0;"-93,621677";"42,033496";"BrkSide"
100000;5;440;1145;1301;1;59;0;5;0;0;"-93,624689";"42,031395";"BrkSide"
113000;5;240;884;884;1;57;0;5;0;0;"-93,623643";"42,032399";"BrkSide"
60000;2;0;264;800;1;59;0;4;1;0;"-93,623643";"42,032359";"BrkSide"
126000;6;528;861;861;1;57;0;6;1;225;"-93,623631";"42,031433";"BrkSide"
132000;5;280;672;899;1;55;0;7;0;0;"-93,624539";"42,031438";"BrkSide"
115000;5;240;896;896;1;56;0;7;0;200;"-93,62454";"42,031499";"BrkSide"
80500;4;0;0;672;1;56;0;3;0;0;"-93,623481";"42,031415";"BrkSide"
137500;5;180;939;939;1;3;0;8;0;24;"-93,621502";"42,032386";"BrkSide"
149000;5;225;1042;1042;1;56;0;8;1;0;"-93,621484";"42,031436";"BrkSide"
127500;6;560;884;959;1;57;0;6;1;0;"-93,622402";"42,031483";"BrkSide"
165000;5;336;825;2071;1;53;366;9;1;131;"-93,662126";"42,032652";"ClearCr"
161500;4;304;1104;1104;1;20;0;8;2;120;"-93,660877";"42,032503";"ClearCr"
302000;7;739;1643;1824;2;5;351;5;2;380;"-93,676272";"42,02868";"ClearCr"
230000;6;522;1117;1117;2;18;288;8;1;336;"-93,675038";"42,024673";"ClearCr"
255000;6;527;1288;2422;3;13;300;6;2;0;"-93,66504";"42,028424";"ClearCr"
241500;7;439;1385;1363;1;3;0;5;2;81;"-93,666066";"42,028568";"ClearCr"
256000;4;529;1364;1663;1;14;0;6;2;224;"-93,666216";"42,028595";"ClearCr"
187500;6;444;832;976;2;0;157;9;0;133;"-93,6825099";"42,024734";"ClearCr"
323262;9;1138;1555;1680;1;0;242;8;1;185;"-93,687067";"42,026626";"CollgCr"
295493;8;860;1622;1630;2;1;270;8;1;172;"-93,688993";"42,026414";"CollgCr"
332000;9;846;1720;1720;2;1;364;8;1;208;"-93,689091";"42,026372";"CollgCr"
276000;8;868;1482;1482;2;0;270;10;1;0;"-93,690234";"42,025558";"CollgCr"
194000;7;826;1240;1240;2;1;0;5;0;140;"-93,69003";"42,024633";"CollgCr"
204900;7;675;1498;1498;2;0;0;5;0;351;"-93,688925";"42,025218";"CollgCr"
212999;8;674;1489;1500;2;1;132;7;1;144;"-93,688923";"42,025156";"CollgCr"
198900;7;740;1226;1226;2;1;0;6;0;0;"-93,69245";"42,024604";"CollgCr"
194500;7;632;1232;1232;2;2;82;6;0;132;"-93,690111";"42,024327";"CollgCr"
233555;6;495;1836;1846;2;0;0;7;1;0;"-93,689485";"42,02437";"CollgCr"
225000;7;576;1614;1614;2;1;140;7;1;100;"-93,688934";"42,023308";"CollgCr"
475000;9;1348;2271;2276;2;0;554;7;2;0;"-93,68698";"42,027368";"CollgCr"
145000;5;462;1100;1100;1;10;0;5;0;0;"-93,691873";"42,022077";"CollgCr"
143000;5;440;990;990;1;15;0;5;0;66;"-93,692135";"42,021176";"CollgCr"
211000;6;546;794;882;2;9;0;7;0;0;"-93,690545";"42,020912";"CollgCr"
146000;5;384;990;990;1;13;0;5;0;256;"-93,692286";"42,019032";"CollgCr"
156000;5;576;990;990;1;11;0;5;0;224;"-93,692005";"42,019047";"CollgCr"
145000;5;672;990;990;1;13;0;5;0;0;"-93,691612";"42,019153";"CollgCr"
197900;7;546;866;866;2;11;0;6;0;198;"-93,690548";"42,018597";"CollgCr"
204000;7;577;1490;1501;2;10;183;6;0;144;"-93,690324";"42,017569";"CollgCr"
192000;7;666;1431;1431;2;10;0;6;0;0;"-93,691667";"42,016903";"CollgCr"
191000;7;577;1468;1479;2;8;125;6;0;120;"-93,689019";"42,017766";"CollgCr"
200000;7;492;916;920;2;4;0;8;0;146;"-93,68923";"42,01686";"CollgCr"
