"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Neighborhood"
5.258;7;6.413;11.006;11.634;2;1;1.2;7;1;3.747;"Blmngtn"
5.205;7;5.977;10.151;10.151;2;1;0.995;5;1;3;"Blmngtn"
5.288;7;7.637;10.64;11.233;0;0;2.546;7;1;3.286;"Blmngtn"
5.423;8;7.637;11.696;11.876;2;0;0;7;1;5.299;"Blmngtn"
5.267;8;7.336;9.401;9.647;1;5;0;4;1;3.562;"Blueste"
5.045;6;4.874;6.593;6.593;1;8;6.735;5;0;0;"BrDale"
5.072;6;4.874;6.593;6.593;1;1;6.775;5;0;4.743;"BrDale"
5.025;5;6.293;7.53;7.53;2;8;5.231;6;0;0;"BrDale"
4.961;6;0;7.777;7.777;1;7;4.609;7;0;4.253;"BrDale"
5.321;7;5.324;9.986;10.218;1;1;0;8;1;0;"BrkSide"
4.94;4;4.243;8.298;8.298;1;12;0;4;0;3.486;"BrkSide"
5.141;5;6.573;9.139;9.139;2;12;0;7;1;0;"BrkSide"
5.041;5;5.628;7.988;9.387;1;12;3.807;5;1;0;"BrkSide"
5.137;5;5.499;5.17;9.492;2;6;0;7;1;4.686;"BrkSide"
5.083;6;4.157;9.256;9.256;1;12;0;4;1;0;"BrkSide"
5.122;6;5.02;8.379;8.617;1;12;0;6;1;2.012;"BrkSide"
4.968;5;5.367;6.49;8.601;1;12;6.321;6;0;0;"BrkSide"
5.151;5;7.2;9.134;9.799;1;12;0;5;0;3.175;"BrkSide"
5.061;5;4.874;9.295;9.463;1;2;0;5;0;0;"BrkSide"
5.331;6;6.3;8.716;11.404;2;3;0;10;0;0;"BrkSide"
4.86;3;5.082;0;8.05;1;12;0;4;0;0;"BrkSide"
5.021;6;4.648;8.155;8.869;2;12;0;7;1;0;"BrkSide"
5.107;6;6.722;7.416;8.221;2;2;0;6;0;0;"BrkSide"
5.316;6;5.771;8.659;9.735;1;2;0;8;1;0;"BrkSide"
5.265;7;4.648;9.609;10.098;2;12;0;8;0;0;"BrkSide"
4.81;3;0;7.742;7.742;1;12;0;4;0;0;"BrkSide"
5.322;6;6.293;9.79;9.075;1;12;0;6;1;0;"BrkSide"
4.954;5;7.2;8.216;9.295;1;12;0;7;0;0;"BrkSide"
5.186;6;5.879;7.926;7.926;1;1;0;7;0;0;"BrkSide"
4.903;4;6.893;7.348;8.199;1;11;3.118;5;0;0;"BrkSide"
5.147;6;5.299;9.353;9.353;1;12;0;6;1;0;"BrkSide"
5.061;5;4.648;8.98;8.98;1;12;0;7;0;4.243;"BrkSide"
5.031;5;4.025;7.875;8.078;1;12;0;6;0;0;"ClearCr"
5.516;7;6.926;10.842;10.842;2;3;0;7;0;5.161;"ClearCr"
5.267;5;6.958;9.548;10.218;2;9;0;7;0;6.614;"ClearCr"
5.238;6;6.228;10.779;10.779;1;3;0;6;1;5.256;"ClearCr"
