"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Neighborhood"
160000;7;437;1145;1145;2;4;14;6;0;100;"Blmngtn"
192000;8;430;1256;1269;2;5;16;6;1;146;"Blmngtn"
174000;7;660;1373;1555;2;2;130;7;1;143;"Blmngtn"
175900;7;660;1386;1569;2;2;130;7;1;143;"Blmngtn"
192500;7;430;1373;1555;2;3;16;7;1;143;"Blmngtn"
180000;7;397;1220;1220;2;3;16;5;1;100;"Blmngtn"
195000;7;644;1415;1455;2;5;143;6;1;156;"Blmngtn"
219990;7;668;1393;1576;2;4;24;7;1;143;"Blmngtn"
191000;7;437;1346;1504;2;2;14;7;1;156;"Blmngtn"
159895;7;388;1266;1266;2;1;16;6;1;100;"Blmngtn"
187687;7;428;1146;1246;2;0;20;5;1;100;"Blmngtn"
172500;7;648;1258;1258;2;0;72;6;1;144;"Blmngtn"
226500;8;630;1406;1589;2;4;72;7;1;143;"Blmngtn"
185485;7;388;1266;1266;2;0;16;6;1;100;"Blmngtn"
210250;7;437;1220;1364;2;0;14;6;1;100;"Blmngtn"
234000;7;420;1374;1557;2;2;18;7;1;143;"Blmngtn"
215000;8;400;1273;1456;2;3;40;7;1;143;"Blmngtn"
246990;7;398;1368;1511;2;4;40;5;1;130;"Blmngtn"
178740;7;398;1375;1414;2;2;18;6;1;144;"Blmngtn"
225000;7;388;1365;1548;2;2;18;7;1;143;"Blmngtn"
167240;7;438;1248;1248;2;0;16;5;0;108;"Blmngtn"
156820;7;440;1142;1142;2;0;14;6;0;90;"Blmngtn"
213490;7;440;1362;1506;2;1;145;6;1;142;"Blmngtn"
246578;7;648;1356;1500;2;0;45;6;1;161;"Blmngtn"
162500;8;531;1191;1191;2;21;0;5;1;112;"Blueste"
115000;6;452;516;516;1;29;0;5;1;279;"Blueste"
137000;6;462;561;561;1;17;0;5;1;176;"Blueste"
121000;6;462;561;561;1;29;0;5;1;154;"Blueste"
124000;6;462;561;561;1;29;0;5;1;150;"Blueste"
116500;6;462;516;516;1;28;0;5;1;213;"Blueste"
151000;6;452;716;716;2;28;0;6;1;161;"Blueste"
123900;6;462;516;529;1;27;0;5;1;180;"Blueste"
200000;8;509;1004;1020;1;19;0;4;0;135;"Blueste"
96000;6;264;483;483;1;39;504;5;0;275;"BrDale"
105500;5;320;525;525;1;39;492;6;0;0;"BrDale"
88000;6;264;525;525;1;39;381;6;0;0;"BrDale"
125000;5;440;765;765;1;39;312;7;0;0;"BrDale"
112000;5;280;630;630;2;38;142;6;0;0;"BrDale"
97000;6;288;483;483;1;37;425;5;0;0;"BrDale"
119500;5;264;630;630;2;37;268;6;0;185;"BrDale"
103400;6;264;483;483;1;35;359;5;0;52;"BrDale"
100000;6;264;483;483;1;35;158;5;0;0;"BrDale"
100500;6;352;483;483;1;36;422;5;0;411;"BrDale"
106000;6;280;483;483;1;38;127;5;0;0;"BrDale"
85400;6;264;483;483;1;37;232;4;0;0;"BrDale"
89500;6;264;483;483;1;37;604;5;0;0;"BrDale"
111750;5;264;630;630;2;36;356;6;0;0;"BrDale"
113500;6;264;525;525;1;34;567;6;0;144;"BrDale"
113000;6;264;672;672;1;34;285;7;0;144;"BrDale"
113700;6;264;672;672;1;34;265;7;0;0;"BrDale"
122500;5;440;765;765;1;36;376;6;0;240;"BrDale"
105500;6;440;525;525;1;33;514;6;0;0;"BrDale"
125500;5;440;765;765;1;33;200;7;1;0;"BrDale"
83000;6;264;483;483;1;33;408;5;0;72;"BrDale"
116000;6;264;494;494;1;34;380;6;0;0;"BrDale"
118000;6;264;672;672;1;34;281;7;0;0;"BrDale"
89000;6;264;483;483;1;34;504;5;0;0;"BrDale"
108000;6;264;525;525;1;34;504;6;0;352;"BrDale"
94500;6;288;483;483;1;34;297;5;1;0;"BrDale"
116500;5;0;858;858;1;2;0;4;0;117;"BrkSide"
76500;3;0;728;1306;1;44;0;6;0;263;"BrkSide"
128500;5;363;988;1030;1;13;0;7;0;0;"BrkSide"
134000;6;240;608;608;1;60;0;5;0;0;"BrkSide"
128000;6;576;572;848;1;60;0;6;2;0;"BrkSide"
132000;5;240;835;955;1;60;300;7;2;0;"BrkSide"
139900;6;312;780;780;1;60;0;6;0;221;"BrkSide"
123900;5;624;528;548;1;30;0;5;0;306;"BrkSide"
82500;4;0;420;708;1;59;0;5;0;164;"BrkSide"
223500;5;528;1324;1072;1;5;0;6;1;0;"BrkSide"
149000;6;216;1022;1432;1;59;0;6;1;266;"BrkSide"
205000;7;672;952;952;2;2;0;5;0;74;"BrkSide"
128000;4;240;672;757;1;59;0;6;0;0;"BrkSide"
134900;6;624;698;786;1;9;0;4;0;210;"BrkSide"
117000;5;216;884;884;1;12;0;5;1;0;"BrkSide"
119000;6;180;884;904;1;5;0;4;0;0;"BrkSide"
100000;5;440;1145;1301;1;59;0;5;0;0;"BrkSide"
133000;4;240;884;989;1;14;0;6;0;0;"BrkSide"
60000;2;0;264;800;1;59;0;4;1;0;"BrkSide"
105000;5;180;715;875;1;16;0;5;0;48;"BrkSide"
150000;5;250;952;994;2;59;0;6;1;189;"BrkSide"
126500;5;1184;1072;1072;1;59;0;5;0;0;"BrkSide"
167500;7;532;728;1136;1;16;0;8;0;509;"BrkSide"
52000;3;0;270;729;1;5;0;5;0;0;"BrkSide"
118000;5;205;991;1077;1;58;0;5;2;0;"BrkSide"
87000;4;231;348;453;1;58;0;5;0;0;"BrkSide"
138000;5;288;1008;1143;1;25;0;5;1;265;"BrkSide"
108000;7;252;672;1195;1;58;0;8;0;210;"BrkSide"
79500;5;308;742;779;1;48;0;4;0;0;"BrkSide"
153000;5;240;1024;1144;2;58;0;6;1;0;"BrkSide"
109500;5;0;784;784;1;58;0;5;0;0;"BrkSide"
124000;5;240;672;832;1;2;0;6;0;0;"BrkSide"
106900;6;200;554;736;1;8;0;6;0;38;"BrkSide"
164900;6;240;981;1014;1;19;0;6;1;0;"BrkSide"
119000;5;370;949;949;1;5;0;5;1;0;"BrkSide"
120000;6;208;862;950;1;58;0;5;1;0;"BrkSide"
157000;6;672;825;825;2;8;0;5;0;272;"BrkSide"
113000;6;160;992;1013;1;58;0;6;0;0;"BrkSide"
115000;5;355;565;565;1;11;0;6;1;0;"BrkSide"
123000;4;336;704;624;1;58;0;6;0;0;"BrkSide"
81300;5;164;0;808;1;13;0;6;0;0;"BrkSide"
162900;5;360;1078;1128;2;16;0;8;1;0;"BrkSide"
150000;7;400;989;1245;2;58;0;7;1;0;"BrkSide"
68500;4;240;520;520;1;58;0;4;0;49;"BrkSide"
127000;5;240;672;1072;1;7;0;6;0;0;"BrkSide"
162500;6;672;810;1170;2;4;0;8;0;0;"BrkSide"
145000;5;240;883;988;1;26;0;8;0;0;"BrkSide"
130000;6;275;816;838;1;8;0;5;0;0;"BrkSide"
39300;1;0;0;334;1;57;0;2;0;0;"BrkSide"
64000;3;0;370;442;1;57;0;4;0;0;"BrkSide"
112000;5;308;808;808;1;7;0;5;0;143;"BrkSide"
136500;5;308;756;916;1;13;0;6;1;0;"BrkSide"
128250;5;308;910;910;1;57;0;6;0;0;"BrkSide"
144000;5;495;915;1167;1;57;0;6;1;0;"BrkSide"
135000;5;224;728;728;2;9;0;6;0;0;"BrkSide"
128000;6;217;600;608;1;57;0;6;2;0;"BrkSide"
131000;6;440;735;869;1;57;0;6;1;0;"BrkSide"
113000;5;240;884;884;1;57;0;5;0;0;"BrkSide"
126000;6;528;861;861;1;57;0;6;1;225;"BrkSide"
132000;5;280;672;899;1;55;0;7;0;0;"BrkSide"
131750;5;230;966;1014;1;15;0;6;1;174;"BrkSide"
132500;5;379;756;903;1;57;0;6;0;25;"BrkSide"
137500;5;180;939;939;1;3;0;8;0;24;"BrkSide"
132000;7;576;832;854;1;6;0;5;0;48;"BrkSide"
127500;6;560;884;959;1;57;0;6;1;0;"BrkSide"
102000;6;180;960;986;1;57;0;5;1;0;"BrkSide"
180500;6;520;764;1060;1;57;0;8;1;0;"BrkSide"
165000;6;576;768;752;1;57;0;7;0;0;"BrkSide"
121600;4;305;747;774;1;56;0;5;0;0;"BrkSide"
85500;4;0;440;869;1;48;0;4;0;0;"BrkSide"
127000;5;576;504;936;1;15;0;5;0;104;"BrkSide"
100000;4;0;788;788;1;56;0;4;2;0;"BrkSide"
202500;6;240;848;1017;1;10;0;9;1;27;"BrkSide"
159000;6;420;1004;1004;2;56;0;7;2;0;"BrkSide"
114500;6;528;816;816;1;56;0;6;1;112;"BrkSide"
75000;3;258;728;728;1;56;0;6;0;0;"BrkSide"
88000;5;450;768;1015;1;56;0;6;0;0;"BrkSide"
80500;4;0;0;672;1;56;0;3;0;0;"BrkSide"
149000;5;225;1042;1042;1;56;0;8;1;0;"BrkSide"
110000;5;180;741;741;1;22;0;7;0;0;"BrkSide"
89000;5;205;616;616;1;56;0;4;0;0;"BrkSide"
113000;5;280;993;1048;1;56;0;5;1;0;"BrkSide"
109000;5;210;816;816;1;56;0;4;0;168;"BrkSide"
129000;4;576;960;960;1;36;160;6;0;0;"BrkSide"
244400;7;349;1032;1207;2;60;0;10;2;56;"ClearCr"
173000;5;365;1422;1675;2;51;90;8;2;0;"ClearCr"
270000;7;690;1420;1483;1;9;0;4;2;496;"ClearCr"
260000;7;586;1332;1332;0;31;0;4;1;268;"ClearCr"
230000;6;522;1117;1117;2;18;288;8;1;336;"ClearCr"
155000;6;440;1010;1052;1;39;80;6;0;0;"ClearCr"
165000;5;336;825;2071;1;53;366;9;1;131;"ClearCr"
