"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Longitude";"Latitude";"Neighborhood"
172500;7;648;1258;1258;2;0;72;6;1;144;"-93,641795";"42,062584";"Blmngtn"
194201;7;648;1258;1402;0;0;72;7;1;120;"-93,641716";"42,062581";"Blmngtn"
210250;7;437;1220;1364;2;0;14;6;1;100;"-93,641662";"42,062574";"Blmngtn"
160000;7;437;1145;1145;2;4;14;6;0;100;"-93,641635";"42,06257";"Blmngtn"
174000;7;660;1373;1555;2;2;130;7;1;143;"-93,641561";"42,062562";"Blmngtn"
195000;7;644;1415;1455;2;5;143;6;1;156;"-93,640176";"42,063336";"Blmngtn"
246990;7;398;1368;1511;2;4;40;5;1;130;"-93,640227";"42,063185";"Blmngtn"
226500;8;630;1406;1589;2;4;72;7;1;143;"-93,640513";"42,062946";"Blmngtn"
219990;7;668;1393;1576;2;4;24;7;1;143;"-93,640958";"42,062299";"Blmngtn"
178740;7;398;1375;1414;2;2;18;6;1;144;"-93,641321";"42,062374";"Blmngtn"
225000;7;388;1365;1548;2;2;18;7;1;143;"-93,6419";"42,0623";"Blmngtn"
192500;7;430;1373;1555;2;3;16;7;1;143;"-93,642094";"42,062305";"Blmngtn"
192000;8;430;1256;1269;2;5;16;6;1;146;"-93,642252";"42,062303";"Blmngtn"
191000;7;437;1346;1504;2;2;14;7;1;156;"-93,6424399";"42,062285";"Blmngtn"
180000;7;397;1220;1220;2;3;16;5;1;100;"-93,642911";"42,062081";"Blmngtn"
160200;7;397;1145;1145;2;3;11;5;1;100;"-93,642914";"42,062086";"Blmngtn"
159895;7;388;1266;1266;2;1;16;6;1;100;"-93,643039";"42,062004";"Blmngtn"
187687;7;428;1146;1246;2;0;20;5;1;100;"-93,642326";"42,063301";"Blmngtn"
167240;7;438;1248;1248;2;0;16;5;0;108;"-93,642261";"42,063301";"Blmngtn"
156820;7;440;1142;1142;2;0;14;6;0;90;"-93,642241";"42,063301";"Blmngtn"
185485;7;388;1266;1266;2;0;16;6;1;100;"-93,642177";"42,063301";"Blmngtn"
213490;7;440;1362;1506;2;1;145;6;1;142;"-93,642116";"42,063301";"Blmngtn"
264561;8;648;1520;1567;2;0;0;7;1;312;"-93,641518";"42,062831";"Blmngtn"
246578;7;648;1356;1500;2;0;45;6;1;161;"-93,641522";"42,062873";"Blmngtn"
116500;6;462;516;516;1;28;0;5;1;213;"-93,645743";"42,009489";"Blueste"
115000;6;452;516;516;1;29;0;5;1;279;"-93,645743";"42,009489";"Blueste"
137000;6;462;561;561;1;17;0;5;1;176;"-93,645743";"42,009489";"Blueste"
123900;6;462;516;529;1;27;0;5;1;180;"-93,645743";"42,009489";"Blueste"
121000;6;462;561;561;1;29;0;5;1;154;"-93,645743";"42,009489";"Blueste"
151000;6;452;716;716;2;28;0;6;1;161;"-93,645743";"42,009489";"Blueste"
124000;6;462;561;561;1;29;0;5;1;150;"-93,645743";"42,009489";"Blueste"
185000;8;598;982;1034;1;21;0;4;1;141;"-93,645701";"42,009345";"Blueste"
162500;8;531;1191;1191;2;21;0;5;1;112;"-93,645729";"42,009337";"Blueste"
200000;8;509;1004;1020;1;19;0;4;0;135;"-93,645785";"42,009321";"Blueste"
105500;6;440;525;525;1;33;514;6;0;0;"-93,629906";"42,052655";"BrDale"
113500;6;264;525;525;1;34;567;6;0;144;"-93,629747";"42,052669";"BrDale"
125500;5;440;765;765;1;33;200;7;1;0;"-93,6292319";"42,0524739";"BrDale"
103400;6;264;483;483;1;35;359;5;0;52;"-93,628971";"42,052794";"BrDale"
113000;6;264;672;672;1;34;285;7;0;144;"-93,628656";"42,052698";"BrDale"
83000;6;264;483;483;1;33;408;5;0;72;"-93,627932";"42,0527019";"BrDale"
100000;6;264;483;483;1;35;158;5;0;0;"-93,627629";"42,052755";"BrDale"
111000;6;264;483;483;1;36;504;5;0;0;"-93,627396";"42,052758";"BrDale"
116000;6;264;494;494;1;34;380;6;0;0;"-93,627103";"42,051798";"BrDale"
106000;5;440;630;630;2;37;304;6;0;0;"-93,629777";"42,052294";"BrDale"
106000;6;280;483;483;1;38;127;5;0;0;"-93,629462";"42,052332";"BrDale"
125000;5;440;765;765;1;39;312;7;0;0;"-93,628119";"42,052338";"BrDale"
122500;5;440;765;765;1;36;376;6;0;240;"-93,627242";"42,051833";"BrDale"
91500;6;0;672;672;1;35;236;7;0;201;"-93,627328";"42,051839";"BrDale"
112000;5;280;630;630;2;38;142;6;0;0;"-93,627565";"42,051683";"BrDale"
105500;5;320;525;525;1;39;492;6;0;0;"-93,627536";"42,051684";"BrDale"
118000;6;264;672;672;1;34;281;7;0;0;"-93,627366";"42,051691";"BrDale"
89500;6;264;483;483;1;37;604;5;0;0;"-93,627309";"42,051687";"BrDale"
88000;6;264;525;525;1;39;381;6;0;0;"-93,62728";"42,051685";"BrDale"
89000;6;264;483;483;1;34;504;5;0;0;"-93,629877";"42,051672";"BrDale"
108000;6;264;525;525;1;34;504;6;0;352;"-93,629846";"42,051673";"BrDale"
94500;6;288;483;483;1;34;297;5;1;0;"-93,629516";"42,051664";"BrDale"
97000;6;288;483;483;1;37;425;5;0;0;"-93,629456";"42,051661";"BrDale"
118000;6;264;483;483;1;2;510;5;0;250;"-93,629851";"42,051823";"BrDale"
119500;5;264;630;630;2;37;268;6;0;185;"-93,629881";"42,051822";"BrDale"
39300;1;0;0;334;1;57;0;2;0;0;"-93,629661";"42,036575";"BrkSide"
64500;3;0;666;666;1;57;0;4;0;0;"-93,629545";"42,035684";"BrkSide"
82500;4;0;420;708;1;59;0;5;0;164;"-93,629499";"42,035489";"BrkSide"
116500;5;0;858;858;1;2;0;4;0;117;"-93,629287";"42,035256";"BrkSide"
121600;4;305;747;774;1;56;0;5;0;0;"-93,628568";"42,035836";"BrkSide"
72500;3;287;0;720;1;58;0;4;0;0;"-93,628205";"42,035582";"BrkSide"
110000;5;352;709;979;1;59;161;5;1;0;"-93,62919";"42,035443";"BrkSide"
79900;4;528;600;747;1;53;108;5;0;0;"-93,629256";"42,035379";"BrkSide"
76500;3;0;728;1306;1;44;0;6;0;263;"-93,629313";"42,035482";"BrkSide"
52000;3;0;270;729;1;5;0;5;0;0;"-93,62936";"42,035571";"BrkSide"
112000;5;308;808;808;1;7;0;5;0;143;"-93,628582";"42,036223";"BrkSide"
87000;4;231;348;453;1;58;0;5;0;0;"-93,628236";"42,035741";"BrkSide"
127000;5;576;504;936;1;15;0;5;0;104;"-93,628176";"42,035666";"BrkSide"
100000;4;0;788;788;1;56;0;4;2;0;"-93,628478";"42,03405";"BrkSide"
223500;5;528;1324;1072;1;5;0;6;1;0;"-93,6289369";"42,033996";"BrkSide"
149000;6;216;1022;1432;1;59;0;6;1;266;"-93,628848";"42,033558";"BrkSide"
138000;5;288;1008;1143;1;25;0;5;1;265;"-93,628806";"42,03361";"BrkSide"
205000;7;672;952;952;2;2;0;5;0;74;"-93,6279815";"42,0333765";"BrkSide"
136500;5;308;756;916;1;13;0;6;1;0;"-93,6281873";"42,033311";"BrkSide"
140200;6;312;972;972;1;56;0;6;1;0;"-93,626022";"42,03179";"BrkSide"
137000;5;336;297;1001;2;27;0;7;1;244;"-93,625968";"42,031564";"BrkSide"
108000;7;252;672;1195;1;58;0;8;0;210;"-93,6267116";"42,0343116";"BrkSide"
128250;5;308;910;910;1;57;0;6;0;0;"-93,6262716";"42,034339";"BrkSide"
128500;5;363;988;1030;1;13;0;7;0;0;"-93,625737";"42,033642";"BrkSide"
121000;6;192;952;952;1;59;0;4;1;0;"-93,626116";"42,031542";"BrkSide"
144000;5;495;915;1167;1;57;0;6;1;0;"-93,627605";"42,031846";"BrkSide"
153000;5;240;1024;1144;2;58;0;6;1;0;"-93,625926";"42,03047";"BrkSide"
209500;7;315;1108;1160;1;5;0;8;1;0;"-93,625825";"42,030187";"BrkSide"
