"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Neighborhood"
5.204;7;6.271;10.151;10.151;2;1;1.122;6;0;3;"Blmngtn"
5.283;8;6.221;10.632;10.687;2;1;1.2;6;1;3.625;"Blmngtn"
5.241;7;7.707;11.116;11.83;2;1;3.421;7;1;3.587;"Blmngtn"
5.245;7;7.707;11.169;11.883;2;1;3.421;7;1;3.587;"Blmngtn"
5.284;7;6.221;11.116;11.83;2;1;1.2;7;1;3.587;"Blmngtn"
5.255;7;5.977;10.479;10.479;2;1;1.2;5;1;3;"Blmngtn"
5.29;7;7.613;11.285;11.443;2;1;3.587;6;1;3.747;"Blmngtn"
5.342;7;7.754;11.197;11.91;2;1;1.47;7;1;3.587;"Blmngtn"
5.281;7;6.271;11.006;11.634;2;1;1.122;7;1;3.747;"Blmngtn"
5.204;7;5.909;10.674;10.674;2;1;1.2;6;1;3;"Blmngtn"
5.273;7;6.206;10.156;10.59;2;0;1.342;5;1;3;"Blmngtn"
5.237;7;7.637;10.64;10.64;2;0;2.546;6;1;3.6;"Blmngtn"
5.355;8;7.53;11.249;11.959;2;1;2.546;7;1;3.587;"Blmngtn"
5.268;7;5.909;10.674;10.674;2;0;1.2;6;1;3;"Blmngtn"
5.323;7;6.271;10.479;11.08;2;0;1.122;6;1;3;"Blmngtn"
5.369;7;6.148;11.12;11.838;2;1;1.273;7;1;3.587;"Blmngtn"
5.332;8;6;10.704;11.447;2;1;1.897;7;1;3.587;"Blmngtn"
5.393;7;5.985;11.096;11.661;2;1;1.897;5;1;3.421;"Blmngtn"
5.252;7;5.985;11.124;11.281;2;1;1.273;6;1;3.6;"Blmngtn"
5.352;7;5.909;11.084;11.803;2;1;1.273;7;1;3.587;"Blmngtn"
5.223;7;6.279;10.598;10.598;2;0;1.2;5;0;3.118;"Blmngtn"
5.195;7;6.293;10.138;10.138;2;0;1.122;6;0;2.846;"Blmngtn"
5.329;7;6.293;11.072;11.642;2;1;3.612;6;1;3.575;"Blmngtn"
5.392;7;7.637;11.047;11.619;2;0;2.012;6;1;3.807;"Blmngtn"
5.211;8;6.913;10.353;10.353;2;5;0;5;1;3.175;"Blueste"
5.061;6;6.378;6.815;6.815;1;6;0;5;1;5.011;"Blueste"
5.137;6;6.448;7.106;7.106;1;4;0;5;1;3.98;"Blueste"
5.083;6;6.448;7.106;7.106;1;6;0;5;1;3.723;"Blueste"
5.093;6;6.448;7.106;7.106;1;6;0;5;1;3.674;"Blueste"
5.066;6;6.448;6.815;6.815;1;6;0;5;1;4.378;"Blueste"
5.179;6;6.378;8.027;8.027;2;6;0;6;1;3.807;"Blueste"
5.093;6;6.448;6.815;6.9;1;6;0;5;1;4.025;"Blueste"
5.301;8;6.768;9.506;9.581;1;4;0;4;0;3.486;"Blueste"
4.982;6;4.874;6.593;6.593;1;8;6.735;5;0;4.975;"BrDale"
5.023;5;5.367;6.874;6.874;1;8;6.654;6;0;0;"BrDale"
4.944;6;4.874;6.874;6.874;1;8;5.856;6;0;0;"BrDale"
5.097;5;6.293;8.298;8.298;1;8;5.299;7;0;0;"BrDale"
5.049;5;5.02;7.53;7.53;2;8;3.575;6;0;0;"BrDale"
