"price";"Overall.Qual";"Garage.Area";"Total.Bsmt.SF";"X1st.Flr.SF";"Full.Bath";"AgeofHouse";"Mas.Vnr.Area";"TotRms.AbvGrd";"Fireplaces";"Wood.Deck.SF";"Longitude";"Latitude";"Neighborhood"
5.237;7;7.637;10.64;10.64;2;0;2.546;6;1;3.6;"-93,641795";"42,062584";"Blmngtn"
5.288;7;7.637;10.64;11.233;0;0;2.546;7;1;3.286;"-93,641716";"42,062581";"Blmngtn"
5.323;7;6.271;10.479;11.08;2;0;1.122;6;1;3;"-93,641662";"42,062574";"Blmngtn"
5.204;7;6.271;10.151;10.151;2;1;1.122;6;0;3;"-93,641635";"42,06257";"Blmngtn"
5.241;7;7.707;11.116;11.83;2;1;3.421;7;1;3.587;"-93,641561";"42,062562";"Blmngtn"
5.29;7;7.613;11.285;11.443;2;1;3.587;6;1;3.747;"-93,640176";"42,063336";"Blmngtn"
5.393;7;5.985;11.096;11.661;2;1;1.897;5;1;3.421;"-93,640227";"42,063185";"Blmngtn"
5.355;8;7.53;11.249;11.959;2;1;2.546;7;1;3.587;"-93,640513";"42,062946";"Blmngtn"
5.342;7;7.754;11.197;11.91;2;1;1.47;7;1;3.587;"-93,640958";"42,062299";"Blmngtn"
5.252;7;5.985;11.124;11.281;2;1;1.273;6;1;3.6;"-93,641321";"42,062374";"Blmngtn"
5.352;7;5.909;11.084;11.803;2;1;1.273;7;1;3.587;"-93,6419";"42,0623";"Blmngtn"
5.284;7;6.221;11.116;11.83;2;1;1.2;7;1;3.587;"-93,642094";"42,062305";"Blmngtn"
5.283;8;6.221;10.632;10.687;2;1;1.2;6;1;3.625;"-93,642252";"42,062303";"Blmngtn"
5.281;7;6.271;11.006;11.634;2;1;1.122;7;1;3.747;"-93,6424399";"42,062285";"Blmngtn"
5.255;7;5.977;10.479;10.479;2;1;1.2;5;1;3;"-93,642911";"42,062081";"Blmngtn"
5.205;7;5.977;10.151;10.151;2;1;0.995;5;1;3;"-93,642914";"42,062086";"Blmngtn"
5.204;7;5.909;10.674;10.674;2;1;1.2;6;1;3;"-93,643039";"42,062004";"Blmngtn"
5.273;7;6.206;10.156;10.59;2;0;1.342;5;1;3;"-93,642326";"42,063301";"Blmngtn"
5.223;7;6.279;10.598;10.598;2;0;1.2;5;0;3.118;"-93,642261";"42,063301";"Blmngtn"
5.195;7;6.293;10.138;10.138;2;0;1.122;6;0;2.846;"-93,642241";"42,063301";"Blmngtn"
5.268;7;5.909;10.674;10.674;2;0;1.2;6;1;3;"-93,642177";"42,063301";"Blmngtn"
5.329;7;6.293;11.072;11.642;2;1;3.612;6;1;3.575;"-93,642116";"42,063301";"Blmngtn"
5.423;8;7.637;11.696;11.876;2;0;0;7;1;5.299;"-93,641518";"42,062831";"Blmngtn"
5.392;7;7.637;11.047;11.619;2;0;2.012;6;1;3.807;"-93,641522";"42,062873";"Blmngtn"
5.066;6;6.448;6.815;6.815;1;6;0;5;1;4.378;"-93,645743";"42,009489";"Blueste"
5.061;6;6.378;6.815;6.815;1;6;0;5;1;5.011;"-93,645743";"42,009489";"Blueste"
5.137;6;6.448;7.106;7.106;1;4;0;5;1;3.98;"-93,645743";"42,009489";"Blueste"
5.093;6;6.448;6.815;6.9;1;6;0;5;1;4.025;"-93,645743";"42,009489";"Blueste"
5.083;6;6.448;7.106;7.106;1;6;0;5;1;3.723;"-93,645743";"42,009489";"Blueste"
5.179;6;6.378;8.027;8.027;2;6;0;6;1;3.807;"-93,645743";"42,009489";"Blueste"
5.093;6;6.448;7.106;7.106;1;6;0;5;1;3.674;"-93,645743";"42,009489";"Blueste"
5.267;8;7.336;9.401;9.647;1;5;0;4;1;3.562;"-93,645701";"42,009345";"Blueste"
5.211;8;6.913;10.353;10.353;2;5;0;5;1;3.175;"-93,645729";"42,009337";"Blueste"
5.301;8;6.768;9.506;9.581;1;4;0;4;0;3.486;"-93,645785";"42,009321";"Blueste"
5.023;6;6.293;6.874;6.874;1;7;6.801;6;0;0;"-93,629906";"42,052655";"BrDale"
5.055;6;4.874;6.874;6.874;1;7;7.144;6;0;3.6;"-93,629747";"42,052669";"BrDale"
5.099;5;6.293;8.298;8.298;1;7;4.243;7;1;0;"-93,6292319";"42,0524739";"BrDale"
5.015;6;4.874;6.593;6.593;1;7;5.684;5;0;2.163;"-93,628971";"42,052794";"BrDale"
5.053;6;4.874;7.777;7.777;1;7;5.065;7;0;3.6;"-93,628656";"42,052698";"BrDale"
4.919;6;4.874;6.593;6.593;1;7;6.06;5;0;2.546;"-93,627932";"42,0527019";"BrDale"
5;6;4.874;6.593;6.593;1;7;3.771;5;0;0;"-93,627629";"42,052755";"BrDale"
5.045;6;4.874;6.593;6.593;1;8;6.735;5;0;0;"-93,627396";"42,052758";"BrDale"
5.064;6;4.874;6.668;6.668;1;7;5.848;6;0;0;"-93,627103";"42,051798";"BrDale"
5.025;5;6.293;7.53;7.53;2;8;5.231;6;0;0;"-93,629777";"42,052294";"BrDale"
5.025;6;5.02;6.593;6.593;1;8;3.381;5;0;0;"-93,629462";"42,052332";"BrDale"
5.097;5;6.293;8.298;8.298;1;8;5.299;7;0;0;"-93,628119";"42,052338";"BrDale"
5.088;5;6.293;8.298;8.298;1;8;5.817;6;0;4.648;"-93,627242";"42,051833";"BrDale"
4.961;6;0;7.777;7.777;1;7;4.609;7;0;4.253;"-93,627328";"42,051839";"BrDale"
5.049;5;5.02;7.53;7.53;2;8;3.575;6;0;0;"-93,627565";"42,051683";"BrDale"
5.023;5;5.367;6.874;6.874;1;8;6.654;6;0;0;"-93,627536";"42,051684";"BrDale"
5.072;6;4.874;7.777;7.777;1;7;5.029;7;0;0;"-93,627366";"42,051691";"BrDale"
4.952;6;4.874;6.593;6.593;1;8;7.373;5;0;0;"-93,627309";"42,051687";"BrDale"
4.944;6;4.874;6.874;6.874;1;8;5.856;6;0;0;"-93,62728";"42,051685";"BrDale"
4.949;6;4.874;6.593;6.593;1;7;6.735;5;0;0;"-93,629877";"42,051672";"BrDale"
5.033;6;4.874;6.874;6.874;1;7;6.735;6;0;5.628;"-93,629846";"42,051673";"BrDale"
4.975;6;5.091;6.593;6.593;1;7;5.17;5;1;0;"-93,629516";"42,051664";"BrDale"
4.987;6;5.091;6.593;6.593;1;8;6.185;5;0;0;"-93,629456";"42,051661";"BrDale"
5.072;6;4.874;6.593;6.593;1;1;6.775;5;0;4.743;"-93,629851";"42,051823";"BrDale"
5.077;5;4.874;7.53;7.53;2;8;4.911;6;0;4.08;"-93,629881";"42,051822";"BrDale"
4.594;1;0;0;5.483;1;12;0;2;0;0;"-93,629661";"42,036575";"BrkSide"
4.81;3;0;7.742;7.742;1;12;0;4;0;0;"-93,629545";"42,035684";"BrkSide"
4.916;4;0;6.148;7.982;1;12;0;5;0;3.842;"-93,629499";"42,035489";"BrkSide"
5.066;5;0;8.787;8.787;1;1;0;4;0;3.245;"-93,629287";"42,035256";"BrkSide"
5.085;4;5.239;8.199;8.346;1;12;0;5;0;0;"-93,628568";"42,035836";"BrkSide"
4.86;3;5.082;0;8.05;1;12;0;4;0;0;"-93,628205";"42,035582";"BrkSide"
5.041;5;5.628;7.988;9.387;1;12;3.807;5;1;0;"-93,62919";"42,035443";"BrkSide"
4.903;4;6.893;7.348;8.199;1;11;3.118;5;0;0;"-93,629256";"42,035379";"BrkSide"
4.884;3;0;8.094;10.842;1;9;0;6;0;4.865;"-93,629313";"42,035482";"BrkSide"
4.716;3;0;4.93;8.1;1;1;0;5;0;0;"-93,62936";"42,035571";"BrkSide"
